Variable:,tasmax
Country:,"United Kingdom"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.63,4.30,6.43,11.72,15.95,17.24,21.12,19.03,16.65,12.12,8.22,5.40
1902,6.27,4.04,9.13,11.23,12.13,16.40,17.81,17.42,16.24,11.79,9.22,6.27
1903,5.61,8.50,8.76,9.20,14.26,16.37,17.99,17.14,15.85,12.04,8.38,4.75
1904,6.05,4.85,6.88,11.36,13.91,17.21,19.51,18.50,15.96,12.50,8.11,6.54
1905,6.39,6.54,8.84,9.68,14.86,18.18,20.16,17.68,15.27,10.12,7.20,7.38
1906,6.83,4.99,7.54,10.85,13.03,17.81,18.90,19.56,17.37,13.06,9.45,5.13
1907,5.73,4.98,9.46,10.52,13.46,15.02,17.63,17.01,17.26,12.24,8.65,6.38
1908,5.30,7.15,6.80,9.25,15.14,17.73,18.73,17.81,15.81,14.80,9.75,6.43
1909,5.90,6.07,5.90,12.01,14.88,15.62,17.35,18.79,15.00,12.28,7.04,5.56
1910,5.53,6.60,9.05,9.96,14.50,17.45,17.29,18.02,15.76,12.88,6.38,7.56
1911,5.77,6.77,7.68,10.63,16.32,17.74,21.28,20.94,17.08,12.05,7.96,7.57
1912,5.64,7.06,9.22,12.42,14.83,16.53,18.63,15.50,14.14,11.72,7.97,8.02
1913,5.92,6.84,8.21,10.74,14.25,16.88,17.72,18.80,16.54,13.35,10.31,6.37
1914,5.35,8.42,8.12,12.93,14.16,17.87,19.00,19.55,16.68,12.73,8.83,5.94
1915,5.26,5.77,7.80,11.14,14.43,18.12,17.80,18.22,16.78,11.74,6.01,6.45
1916,8.73,5.67,5.78,11.27,14.60,15.11,18.53,19.36,16.11,12.47,8.99,5.09
1917,3.35,4.25,6.02,8.57,15.76,18.20,19.58,18.37,16.82,10.43,9.82,4.87
1918,5.44,8.06,8.69,10.03,16.26,17.10,18.72,18.93,14.20,11.60,8.19,8.07
1919,5.01,4.42,6.08,10.43,16.47,17.23,17.33,18.93,16.11,11.46,5.22,6.87
1920,6.70,8.36,9.37,10.22,14.64,17.55,17.33,17.01,16.03,13.37,9.73,5.84
1921,8.22,7.18,9.36,12.08,15.09,18.45,21.50,18.00,17.13,15.25,8.00,8.32
1922,5.71,6.77,7.61,8.83,15.71,16.95,16.63,16.55,14.94,11.39,8.73,6.90
1923,7.74,6.88,8.92,10.16,12.25,15.58,19.99,18.11,15.53,12.07,6.04,6.05
1924,6.37,5.57,7.19,10.02,14.05,16.71,18.28,17.00,15.27,12.48,9.26,8.37
1925,7.36,6.44,7.44,10.53,14.01,18.60,19.69,18.47,14.45,12.98,6.39,5.09
1926,6.92,7.99,8.79,12.36,13.24,16.73,19.77,19.55,17.15,10.89,8.27,6.31
1927,6.51,6.90,9.51,10.63,14.26,15.35,18.72,18.60,14.93,13.15,7.99,4.05
1928,7.16,7.88,7.89,11.05,14.28,15.86,18.84,18.28,16.01,12.73,9.66,6.10
1929,3.94,3.94,9.10,9.90,15.01,16.61,19.42,18.40,18.22,12.03,9.02,7.38
1930,6.80,4.11,7.88,10.99,13.97,18.70,18.07,18.47,16.18,12.56,8.56,6.37
1931,5.51,5.77,6.97,10.17,14.14,16.61,17.72,17.21,14.54,12.31,9.73,7.57
1932,8.36,6.14,8.04,9.46,13.15,17.72,18.62,19.46,15.86,11.28,8.54,7.49
1933,4.81,6.03,10.23,11.95,14.74,18.51,20.63,20.47,18.04,12.69,7.77,4.57
1934,6.90,6.92,7.76,10.49,14.43,18.14,21.19,18.34,17.39,12.46,8.21,8.96
1935,6.43,7.21,9.23,10.39,13.75,17.23,19.87,19.65,16.13,11.85,8.46,4.91
1936,5.45,5.29,8.94,9.35,14.66,17.81,17.96,19.24,16.79,12.52,8.10,7.33
1937,6.84,6.53,5.66,11.38,15.23,17.17,18.48,19.53,16.27,12.67,8.31,4.91
1938,7.26,7.05,11.38,11.28,13.63,16.73,17.71,18.87,16.75,12.78,10.48,5.91
1939,5.60,7.61,8.31,11.35,14.63,18.05,17.93,19.29,16.81,11.20,9.98,5.46
1940,2.55,5.12,8.45,11.12,15.76,19.82,17.77,18.74,15.80,12.21,8.99,6.00
1941,2.36,5.11,7.41,9.27,12.89,17.87,19.59,17.54,17.81,13.23,8.72,7.73
1942,3.96,3.27,7.74,12.42,14.40,17.45,18.32,18.91,16.19,12.54,8.00,8.24
1943,6.66,8.32,9.95,13.03,15.07,17.30,19.49,18.17,16.06,13.50,8.75,6.28
1944,8.08,5.83,8.38,12.83,14.65,16.56,18.77,20.33,15.52,11.59,8.22,6.64
1945,2.99,8.71,10.88,12.96,15.12,17.52,19.53,19.16,17.12,14.59,9.63,7.76
1946,5.54,7.36,8.35,12.75,14.74,16.19,18.86,17.50,16.23,12.30,9.59,5.72
1947,4.76,1.13,5.64,11.07,15.81,17.95,19.33,22.24,17.78,14.14,9.30,6.83
1948,6.31,6.58,11.57,12.28,15.26,16.58,18.44,17.58,16.25,12.85,10.39,7.74
1949,7.58,8.02,8.45,12.63,14.70,18.73,20.37,19.71,18.85,14.23,9.17,7.45
1950,6.51,7.09,10.29,10.29,15.02,19.13,18.90,18.62,15.19,12.22,7.78,3.37
1951,5.50,5.52,6.53,9.69,13.02,17.17,19.06,17.59,16.65,13.07,10.25,7.56
1952,4.52,5.99,8.71,12.73,16.30,17.04,19.44,18.66,13.92,11.53,6.64,5.57
1953,5.84,6.89,9.58,10.54,16.04,17.31,18.22,19.11,16.90,12.96,10.26,8.69
1954,5.30,4.70,8.25,11.38,14.54,15.99,16.63,17.07,15.24,13.59,9.24,8.15
1955,4.50,3.33,6.46,12.73,13.00,16.63,21.44,21.25,17.38,12.20,9.74,7.57
1956,5.43,3.34,9.14,10.49,15.45,16.06,18.12,16.15,16.54,12.29,8.69,7.75
1957,7.53,7.09,11.26,11.98,14.13,18.92,18.56,17.99,14.82,13.18,8.52,6.93
1958,5.62,6.65,6.04,10.65,14.00,16.42,18.56,18.29,17.82,13.09,9.01,6.54
1959,4.32,7.06,9.80,12.08,16.37,18.43,20.43,20.50,18.45,15.43,9.33,7.65
1960,6.15,5.86,8.32,12.38,16.34,19.58,17.93,17.93,15.90,12.22,9.20,5.54
1961,5.51,8.64,11.33,12.23,14.34,17.58,17.71,18.21,17.68,13.15,8.19,4.70
1962,6.52,6.76,5.72,10.63,12.95,17.18,17.30,16.93,15.00,13.22,7.65,5.21
1963,1.47,2.12,8.46,10.92,13.35,17.49,17.96,16.74,15.75,13.05,9.47,5.00
1964,5.99,6.48,6.27,11.22,15.89,16.52,18.62,18.31,17.31,11.97,9.50,5.95
1965,5.15,5.36,8.15,11.27,14.11,17.23,16.32,17.81,14.82,13.58,6.57,6.37
1966,4.49,6.63,9.20,9.18,14.52,18.02,17.89,17.56,16.68,12.34,7.43,7.15
1967,6.20,7.35,9.06,10.84,12.86,17.67,19.21,18.47,16.13,12.42,8.21,6.55
1968,6.33,4.09,8.89,11.37,12.54,17.98,17.52,18.27,16.22,14.06,8.15,5.15
1969,7.02,3.10,5.74,10.93,13.61,17.72,19.79,19.02,16.54,15.30,7.31,5.34
1970,5.63,5.17,6.63,9.41,15.63,19.70,17.49,18.91,16.83,13.08,9.41,6.17
1971,6.47,7.21,7.92,10.88,15.24,15.28,20.16,18.18,17.88,14.48,8.80,8.48
1972,5.54,6.32,9.35,11.16,13.43,14.79,18.65,18.06,15.15,13.47,8.49,7.81
1973,6.36,6.71,9.77,10.01,14.07,18.27,18.52,19.46,16.93,11.98,8.51,7.09
1974,8.08,7.51,8.12,11.77,14.40,16.92,17.57,18.28,14.51,10.02,8.56,9.10
1975,8.27,7.01,7.11,10.89,13.20,18.70,20.05,21.75,16.06,12.89,8.80,7.45
1976,7.23,6.50,7.38,11.27,14.72,20.19,21.82,21.44,15.71,12.50,8.54,3.97
1977,4.76,6.47,9.06,9.91,14.04,15.73,19.16,18.36,15.42,14.05,8.07,7.60
1978,5.19,4.37,9.03,9.12,15.34,16.72,17.25,17.54,16.29,14.17,10.48,5.85
1979,2.95,3.45,6.57,10.13,12.66,17.06,18.81,17.54,16.20,13.59,9.17,7.12
1980,4.39,7.43,6.97,12.25,15.34,16.63,17.37,18.36,16.89,11.42,8.22,7.57
1981,6.74,5.48,9.36,11.05,14.45,15.99,18.28,19.55,17.39,10.41,9.53,3.55
1982,5.15,7.07,8.77,12.21,15.32,17.76,19.83,18.44,16.99,12.35,9.21,6.42
1983,8.02,4.13,8.58,9.59,12.55,17.07,22.43,20.96,15.72,12.67,9.37,7.87
1984,5.24,5.82,6.82,12.22,13.90,17.76,20.75,20.94,15.60,13.29,9.30,7.37
1985,3.12,5.14,7.25,11.10,13.92,15.77,18.68,16.98,16.76,13.42,6.31,7.64
1986,5.27,1.42,7.74,8.51,13.80,18.06,18.38,16.19,15.05,13.33,9.90,7.58
1987,3.16,6.24,6.79,12.98,13.50,15.22,18.64,18.34,16.30,12.01,8.38,7.36
1988,6.88,6.85,8.42,11.12,15.14,17.86,17.12,18.14,15.84,12.66,8.73,9.25
1989,8.71,8.23,9.87,9.39,16.63,18.24,21.66,19.62,16.98,13.99,8.93,6.45
1990,8.27,8.79,10.70,11.86,16.67,16.58,20.31,20.84,16.05,13.62,8.64,6.34
1991,5.40,4.63,10.07,10.89,14.12,15.06,20.00,20.34,18.02,12.13,8.83,7.20
1992,6.21,8.03,9.35,11.21,17.02,19.31,18.86,18.02,15.48,10.27,9.64,5.95
1993,7.85,6.99,9.19,11.84,14.37,17.67,17.81,17.67,15.08,10.71,7.09,6.72
1994,6.81,5.34,9.26,10.73,13.59,17.27,20.80,18.58,15.16,12.74,11.47,8.34
1995,6.83,8.10,8.08,11.83,15.11,17.90,21.63,22.76,16.39,15.28,10.00,4.46
1996,6.01,5.34,6.57,11.52,12.52,18.01,19.57,19.59,16.68,13.81,8.12,5.01
1997,4.81,8.47,10.81,12.44,15.09,16.67,19.87,21.60,16.97,13.24,10.36,7.68
1998,7.00,9.49,9.98,10.27,16.05,16.56,17.90,18.94,16.93,12.27,8.34,7.68
1999,7.07,6.97,9.46,12.16,15.54,16.80,20.59,18.99,18.22,13.23,9.55,6.51
2000,6.91,8.03,9.77,10.49,15.48,17.18,18.23,19.62,17.01,12.52,8.72,6.86
2001,5.55,6.56,7.45,10.39,16.19,16.91,19.40,19.36,15.78,14.86,9.70,6.09
2002,7.66,8.32,9.93,12.46,14.74,17.27,18.39,19.40,17.19,12.04,10.01,6.74
2003,5.96,6.59,10.78,13.35,14.82,19.02,20.33,21.08,17.70,11.96,9.99,6.85
2004,6.52,6.90,9.07,12.11,15.38,18.24,18.64,19.91,17.20,12.31,9.43,7.27
2005,7.56,5.85,9.22,11.83,14.28,18.35,19.32,19.32,17.65,14.24,8.70,6.77
2006,6.01,5.96,6.93,11.26,14.83,19.11,22.60,18.82,18.80,14.75,10.17,7.77
2007,7.95,7.93,9.81,14.89,15.06,17.80,18.30,18.47,16.63,13.68,9.80,7.20
2008,7.63,8.44,8.44,11.14,16.88,17.55,19.56,18.63,16.19,12.21,8.65,5.91
2009,5.26,6.27,9.70,12.76,15.35,18.58,19.54,19.53,17.03,13.79,9.87,5.35
2010,3.55,4.70,8.71,12.50,14.38,19.13,19.89,18.57,16.75,13.05,7.19,2.90
2011,5.51,7.87,9.57,14.67,15.47,17.14,18.55,18.11,17.28,14.16,11.18,7.38
2012,7.16,6.80,11.62,10.41,15.00,16.10,17.99,19.59,16.08,11.82,8.46,6.69
2013,5.70,5.45,5.37,10.44,13.74,17.37,21.82,19.90,16.78,14.08,8.52,8.25
2014,7.20,7.58,10.31,13.06,15.09,18.64,21.18,18.25,18.20,14.26,10.25,6.91
2015,6.41,6.36,8.95,12.47,13.74,17.52,18.73,18.94,16.08,13.36,10.67,9.60
2016,7.16,6.69,8.88,10.63,15.81,18.02,19.47,19.86,18.07,13.27,8.08,8.41
2017,6.51,7.63,10.66,12.10,16.80,18.80,19.50,18.84,16.17,14.17,8.74,6.84
2018,6.57,5.15,6.92,12.10,17.07,19.80,22.02,19.56,16.60,13.24,9.71,8.22
2019,6.34,9.23,10.09,12.96,14.70,17.90,20.78,20.06,17.19,12.45,8.14,7.71
2020,7.86,7.84,9.23,13.82,16.58,18.32,18.59,20.00,17.28,12.50,10.33,6.78
2021,5.00,6.73,9.75,10.83,13.71,18.68,20.85,19.08,18.49,14.04,9.91,7.64
